date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:26	853343/853343	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Aug%202023%2016:18:16%20GMT	https://printservices.site/setup/	C:/My%20Web%20Sites/hppri/printservices.site/setup/index.html	(from )
20:04:26	113/113	---M-Z	200	added ('OK')	text/plain	date:Sat,%2009%20Sep%202023%2014:34:26%20GMT	https://printservices.site/robots.txt		(from )
20:04:26	996/996	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/css/page/123fontstyles.css	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/123fontstyles.css	(from https://printservices.site/setup/)
20:04:26	28714/28714	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/dist/application.min.css	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/dist/application.min.css	(from https://printservices.site/setup/)
20:04:26	12142/12142	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/css/vendor/jquery.typeahead.min.css	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/vendor/jquery.typeahead.min.css	(from https://printservices.site/setup/)
20:04:27	144665/144665	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2017%20Jun%202023%2004:12:56%20GMT	https://printservices.site/setup/resources/assets/js/vendor/jquery/jquery-1.8.js	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/js/vendor/jquery/jquery-1.8.js	(from https://printservices.site/setup/)
20:04:28	50325/50325	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2017%20Jun%202023%2004:12:56%20GMT	https://printservices.site/setup/resources/assets/js/vendor/jquery/can.jquery-1.8.js	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/js/vendor/jquery/can.jquery-1.8.js	(from https://printservices.site/setup/)
20:04:28	17024/17024	---M-Z	200	added ('OK')	text/javascript	etag:%22603c14f673800%22	http://www.hp.com/cma/ng/lib/exceptions/privacy-banner.js	C:/My%20Web%20Sites/hppri/www.hp.com/cma/ng/lib/exceptions/privacy-banner.js	(from https://printservices.site/setup/)
20:04:28	30477/30477	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/js/page/tooltipster.main.min.js	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/js/page/tooltipster.main.min.js	(from https://printservices.site/setup/)
20:04:28	39816/39816	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/js/page/tooltipster.bundle.min.js	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/js/page/tooltipster.bundle.min.js	(from https://printservices.site/setup/)
20:04:29	800/800	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2017%20Jun%202023%2004:12:56%20GMT	https://printservices.site/setup/resources/assets/js/vendor/base.min.js	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/js/vendor/base.min.js	(from https://printservices.site/setup/)
20:04:29	5476/5476	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/dist/application.min.js	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/dist/application.min.js	(from https://printservices.site/setup/)
20:04:29	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2009%20Sep%202023%2014:34:30%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/hppri/www.googletagmanager.com/gtm.a5445.delayed	(from https://printservices.site/setup/)
20:04:29	4442/4442	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/css/page/index.css	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/index.css	(from https://printservices.site/setup/)
20:04:30	4903/4903	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/css/vendor/owlCarousel/owl.carousel.css	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/vendor/owlCarousel/owl.carousel.css	(from https://printservices.site/setup/)
20:04:30	1935/1935	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/css/vendor/owlCarousel/owl.theme.default.css	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/vendor/owlCarousel/owl.theme.default.css	(from https://printservices.site/setup/)
20:04:30	16035/16035	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2017%20Jun%202023%2004:12:56%20GMT	https://printservices.site/setup/resources/assets/js/page/index.js	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/js/page/index.js	(from https://printservices.site/setup/)
20:04:30	283070/283070	---M-Z	200	added ('OK')	text/javascript	etag:%221865d4015ca5fe1c7f80719e55a377ac%22	https://cdn.optimizely.com/js/11773710518.js	C:/My%20Web%20Sites/hppri/cdn.optimizely.com/js/11773710518.js	(from https://printservices.site/setup/)
20:04:31	48002/48002	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2017%20Jun%202023%2004:12:56%20GMT	https://printservices.site/setup/resources/assets/js/vendor/jquery/jquery.typeahead.min.js	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/js/vendor/jquery/jquery.typeahead.min.js	(from https://printservices.site/setup/)
20:04:31	89992/89992	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2017%20Jun%202023%2004:12:56%20GMT	https://printservices.site/setup/resources/assets/js/vendor/owlCarousel/owl.carousel.js	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/js/vendor/owlCarousel/owl.carousel.js	(from https://printservices.site/setup/)
20:04:31	685/685	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/hp-logo.svg	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/hp-logo.svg	(from https://printservices.site/setup/)
20:04:32	43327/43327	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2014:34:33%20GMT	https://printservices.site/setup/officejet.php	C:/My%20Web%20Sites/hppri/printservices.site/setup/officejet.html	(from https://printservices.site/setup/)
20:04:32	42821/42821	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2014:34:33%20GMT	https://printservices.site/setup/deskjet.php	C:/My%20Web%20Sites/hppri/printservices.site/setup/deskjet.html	(from https://printservices.site/setup/)
20:04:33	43327/43327	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2014:34:34%20GMT	https://printservices.site/setup/envy.php	C:/My%20Web%20Sites/hppri/printservices.site/setup/envy.html	(from https://printservices.site/setup/)
20:04:33	43327/43327	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2014:34:34%20GMT	https://printservices.site/setup/laserjet.php	C:/My%20Web%20Sites/hppri/printservices.site/setup/laserjet.html	(from https://printservices.site/setup/)
20:04:33	42185/42185	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2014:34:34%20GMT	https://printservices.site/setup/downloading.php	C:/My%20Web%20Sites/hppri/printservices.site/setup/downloading.html	(from https://printservices.site/setup/)
20:04:34	29001/29001	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/printers_names_3M_printer.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/printers_names_3M_printer.png	(from https://printservices.site/setup/)
20:04:34	242043/242043	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/defaultPrinterSetup.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/defaultPrinterSetup.png	(from https://printservices.site/setup/)
20:04:35	35012/35012	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/printers_names_vasari_printer.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/printers_names_vasari_printer.png	(from https://printservices.site/setup/)
20:04:35	59243/59243	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/printers_names_horizon_printer.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/printers_names_horizon_printer.png	(from https://printservices.site/setup/)
20:04:35	63615/63615	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/printers_names_taccola_printer.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/printers_names_taccola_printer.png	(from https://printservices.site/setup/)
20:04:36	46523/46523	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/printers_names_box.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/printers_names_box.png	(from https://printservices.site/setup/)
20:04:39	137671/137671	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:40%20GMT	https://printservices.site/setup/resources/assets/css/page/resources/assets/fonts/HPSimplified.woff	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/resources/assets/fonts/HPSimplified.woff	(from https://printservices.site/setup/resources/assets/css/page/123fontstyles.css)
